FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
Rasuwa,Uttargaya Gaunpalika,29005,"2,351","2,349",100%,"2,153",92%,"2,069",88%
Sankhuwasabha,Bhotkhola Gaunpalika,9001,39,39,100%,32,82%,32,82%
Sankhuwasabha,Chainpur Nagarpalika,9002,193,193,100%,125,65%,109,56%
Sankhuwasabha,Chichila Gaunpalika,9003,78,78,100%,75,96%,68,87%
Sankhuwasabha,Dharmadevi Nagarpalika,9004,195,195,100%,96,49%,90,46%
Sankhuwasabha,Khandbari Nagarpalika,9005,802,802,100%,477,59%,448,56%
Sankhuwasabha,Madi Nagarpalika,9006,239,239,100%,163,68%,133,56%
Sankhuwasabha,Makalu Gaunpalika,9007,193,193,100%,172,89%,156,81%
Sankhuwasabha,Panchakhapan Nagarpalika,9008,206,206,100%,145,70%,120,58%
Sankhuwasabha,Sabhapokhari Gaunpalika,9009,112,112,100%,64,57%,63,56%
Sankhuwasabha,Silichong Gaunpalika,9010,192,186,97%,150,78%,126,66%
Sindhuli,Dudhouli Nagarpalika,20001,"8,382","8,376",100%,"3,932",47%,"2,220",26%
Sindhuli,Ghanglekh Gaunpalika,20002,"2,679","2,661",99%,"2,107",79%,"1,938",72%
Sindhuli,Golanjor Gaunpalika,20003,"3,776","3,744",99%,"3,016",80%,"2,802",74%
Sindhuli,Hariharpurgadhi Gaunpalika,20004,"4,019","4,004",100%,"2,346",58%,"1,441",36%
Sindhuli,Kamalamai Nagarpalika,20005,"9,767","9,751",100%,"6,827",70%,"5,292",54%
Sindhuli,Marin Gaunpalika,20006,"4,829","4,816",100%,"2,992",62%,"2,078",43%
Sindhuli,Phikkal Gaunpalika,20007,"3,591","3,575",100%,"2,583",72%,"2,320",65%
Sindhuli,Sunkoshi Gaunpalika,20008,"4,411","4,399",100%,"3,914",89%,"3,616",82%
Sindhuli,Tinpatan Gaunpalika,20009,"7,091","7,087",100%,"4,476",63%,"3,307",47%
Sindhupalchowk,Balefi Gaunpalika,23001,"6,148","6,002",98%,"5,926",96%,"5,637",92%
Sindhupalchowk,Barhabise Nagarpalika,23002,"8,245","8,037",97%,"7,741",94%,"7,160",87%
Sindhupalchowk,Bhotekoshi Gaunpalika,23003,"4,377","4,219",96%,"3,890",89%,"3,158",72%
Sindhupalchowk,Chautara SangachokGadhi Nagarpalika,23004,"14,342","14,052",98%,"13,229",92%,"12,863",90%
Sindhupalchowk,Helambu Gaunpalika,23005,"5,677","5,378",95%,"5,040",89%,"4,713",83%
Sindhupalchowk,Indrawati Gaunpalika,23006,"8,594","8,419",98%,"8,181",95%,"7,721",90%
Sindhupalchowk,Jugal Gaunpalika,23007,"5,740","5,663",99%,"5,556",97%,"5,386",94%
Sindhupalchowk,Lisangkhu Pakhar Gaunpalika,23008,"5,716","5,257",92%,"4,854",85%,"4,183",73%
Sindhupalchowk,Melamchi Nagarpalika,23009,"13,979","13,404",96%,"12,866",92%,"11,551",83%
Sindhupalchowk,Panchpokhari Thangpal Gaunpalika,23010,"7,501","7,142",95%,"6,824",91%,"5,939",79%
Sindhupalchowk,Sunkoshi Gaunpalika,23011,"5,925","5,723",97%,"5,582",94%,"5,259",89%
Sindhupalchowk,Tripurasundari Gaunpalika,23012,"4,660","4,548",98%,"4,456",96%,"4,297",92%
Solukhumbu,Thulung Dudhkoshi Gaunpalika,11001,"2,739","2,739",100%,"2,456",90%,"2,372",87%
Solukhumbu,Mappe Dudhkoshi Gaunpalika,11002,"1,254","1,254",100%,"1,184",94%,"1,028",82%
Solukhumbu,Khumbupasanglahmu Gaunpalika,11003,"1,278","1,278",100%,964,75%,854,67%
Solukhumbu,Likhupike Gaunpalika,11004,"1,220","1,220",100%,989,81%,726,60%
Solukhumbu,Mahakulung Gaunpalika,11005,660,660,100%,524,79%,382,58%
Solukhumbu,Nechasalyan Gaunpalika,11006,"1,614","1,614",100%,"1,352",84%,"1,256",78%
