District	Municipality	Ward	Partner Organization	Implementing Partner	Funding Organisation	Sector	Activity Type	Name of the Infrastructure	Activity Detail	Curriculum (for Trainings)	Activity Status	Unit (Indicator)	Planned#	Reached#	GaNaPa_Code	GaPaN_Ward_Code
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up	Winterisation support 2019	ELectronic Voucher equivalent to NPR 13000 to purchase winterisation materials			households	415		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up	Winterisation support 2020	ELectronic Voucher equivalent to NPR 13000 to purchase winterisation materials			households	415		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up	Winterisation support 2021	ELectronic Voucher equivalent to NPR 13000 to purchase winterisation materials			households	415		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up	Winterisation support 2022	ELectronic Voucher equivalent to NPR 13000 to purchase winterisation materials			households	415		23012	23012-1
Sindhupalchok	Tripura Sundari	1	SCI	TASK	SCI	Rural Housing and Community Infrastructure	Support -  Vulnerable households top-up	Winterisation support 2023	ELectronic Voucher equivalent to NPR 13000 to purchase winterisation materials			households	415		23012	23012-1
Sindhupalchok	Tripura Sundari	4	PIN	PIN/CSRC	DFID	Governance	Capacity building - Strengthen institutional capacity of local institutions		Orientation to GP on the policy of relocation formulated by NRA.		Completed	individuals	27	27	23012	23012-4
Sindhupalchok	Tripura Sundari	4	PIN	PIN/CSRC	DFID	Disaster Risk Management	Awareness - Enhancement of Risk information dissemination		Information Dissemination on Geo-hazard Survey and risk scoring interpreted by Geologists to GP		Completed	households	27	27	23012	23012-4
Sindhupalchok	Tripura Sundari	3	PIN	PIN/CSRC	DFID	Rural Housing and Community Infrastructure	Assessment - Survey and assessment		Data collection of landless HHs		Completed	households	1	1	23012	23012-3
Sindhupalchok	Tripura Sundari	4	PIN	PIN/CSRC	DFID	Rural Housing and Community Infrastructure	Assessment - Survey and assessment		Data collection of landless HHs		Completed	households	1	1	23012	23012-4
Sindhupalchok	Tripura Sundari	5	PIN	PIN/CSRC	DFID	Rural Housing and Community Infrastructure	Assessment - Survey and assessment		Data collection of landless HHs		Completed	households	2	2	23012	23012-5
Sindhupalchok	Tripura Sundari	6	PIN	PIN/CSRC	DFID	Rural Housing and Community Infrastructure	Assessment - Survey and assessment		Data collection of landless HHs		Completed	households	3	3	23012	23012-6
