District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Makwanpur,Thaha,11,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,11,31010,31010-11
Makwanpur,Thaha,11,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,12,31010,31010-12
Makwanpur,Thaha,11,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,CEEDF,Tearund/DEC,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,School DRR planning and awareness,,,households,25,,12,31010,31010-12
Makwanpur,Indrasarowar,2,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,24,,2,31005,31005-2
Makwanpur,Indrasarowar,2,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,23,,2,31005,31005-2
Makwanpur,Thaha,10,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,23,,10,31010,31010-10
Makwanpur,Indrasarowar,4,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,23,,4,31005,31005-4
Makwanpur,Indrasarowar,5,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,22,,5,31005,31005-5
Makwanpur,Indrasarowar,5,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,22,,5,31005,31005-5
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Ongoing,households,22,20,7,31010,31010-7
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Ongoing,households,22,21,12,31010,31010-12
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,22,22,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Ongoing,households,22,20,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,22,20,7,31010,31010-7
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,22,21,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Ongoing,households,22,20,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,22,12,12,31010,31010-12
Makwanpur,Thaha,8,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,8,31010,31010-8
Makwanpur,Thaha,7,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,7,31010,31010-7
Makwanpur,Thaha,8,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,8,31010,31010-8
Makwanpur,Thaha,11,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,11,31010,31010-11
Makwanpur,Thaha,11,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,11,31010,31010-11
Makwanpur,Thaha,11,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,12,31010,31010-12
Makwanpur,Thaha,11,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,MRC,Tearund/DEC,Employment and Livelihood,Support - Material support for livelihood activities,,Seasonal vegetable seed distribution,,,households,22,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,Tearund/DEC,"Water, Sanitation and Hygiene",Repair/Rehabilitation - Toilet,,Support in the construction of HH Toilet,,,households,22,,12,31010,31010-12
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,21,,1,31005,31005-1
Makwanpur,Thaha,9,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,21,,9,31010,31010-9
Makwanpur,Thaha,9,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,21,,9,31010,31010-9
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Ongoing,households,21,20,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Ongoing,households,21,20,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,21,21,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Ongoing,households,21,20,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,21,17,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,21,21,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Ongoing,households,21,19,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Ongoing,households,21,20,7,31010,31010-7
Makwanpur,Manahari,9,CS,,SABAL,USAID,Rural Housing and Community Infrastructure,Capacity building - Vocational/on-the-job training for mason,"New masons (other curriculums, specify in Activity Detail)",390 hours based on CTEVT curriculum,,Planned,households,20,0,9,31008,31008-9
Makwanpur,Raksirang,3,CS,,SABAL,USAID,Rural Housing and Community Infrastructure,Capacity building - Vocational/on-the-job training for mason,"New masons (other curriculums, specify in Activity Detail)",390 hours based on CTEVT curriculum,,Planned,households,20,0,3,31009,31009-3
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Promotional Activities,"Several awareness raising campaigns, hygiene promotion activities and capacity building will be conducted under this action. The action will apply WASH cluster 6 messages relating to: latrine use, critical times for hand washing with soap and water, purification of water at HH level, food hygiene, menstrual hygiene management, waste management. ",,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Orientation - Household reconstruction orientation,Orientation,Orientation on safe shelter methodologies to individuals representing house owners both male and female,,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Support - Distribution of IEC Materials on BBB,Promotional Activities,Calendar and Posters with Safe Shelter Construction techniques will be printed and distributed to HHs,,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Support - Vulnerable households support,Living Condition Support,Improving living condition Support HHs,,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Support - Vulnerable households support,Tool-Kit Support,Shelter Tool Kit Support HHs,,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Support - Vulnerable households support,Need Assessment Survey,Need Assessment Survey,,,households,20,,10,31010,31010-10
Makwanpur,Thaha,10,DCA,Supporting in recovery of Earthquake Affected Communities of Nepal,CCDN,ECHO and partially by ICCO Cooperation,Rural Housing and Community Infrastructure,Support - Transportation top-up for remote areas,Transportation,Local material transportation to site,,,households,20,,10,31010,31010-10
Makwanpur,Hetauda,4,PLAN,Post Earthquake recovery and reconstruction Project,CWS,PLAN,Social Protection,Awareness - Programmes on Human Trafficking,Specialized Support for Vulnerable Children,,,,households,20,,4,31004,31004-4
Makwanpur,Hetauda,15,PLAN,Post Earthquake recovery and reconstruction Project,CWS,PLAN,Social Protection,Awareness - Programmes on Human Trafficking,Specialized Support for Vulnerable Children,,,,households,20,,15,31004,31004-15
Makwanpur,Hetauda,15,PLAN,Post Earthquake recovery and reconstruction Project,CWS,PLAN,Social Protection,Awareness - Programmes on Human Trafficking,Specialized Support for Vulnerable Children,,,,households,20,,15,31004,31004-15
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,1,31005,31005-1
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,1,31005,31005-1
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,1,31005,31005-1
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,1,31005,31005-1
Makwanpur,Indrasarowar,1,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,1,31005,31005-1
Makwanpur,Thaha,9,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,20,,9,31010,31010-9
