District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Makwanpur,Thaha,5,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ICCO cooperation/D&P Canada,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Scaling up of potato seed production,,Completed,households,30,30,5,31010,31010-5
Makwanpur,Thaha,2,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ICCO cooperation/D&P Canada,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,,Scaling up of potato seed production,,Completed,households,30,30,2,31010,31010-2
Makwanpur,Thaha,4,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ECHO,"Water, Sanitation and Hygiene",Support - Material Support on Household WASH,,A package of materials worth 9000 NPR per family,,Completed,households,30,30,4,31010,31010-4
Makwanpur,Thaha,5,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ECHO,"Water, Sanitation and Hygiene",Support - Material Support on Household WASH,,A package of materials worth 9000 NPR per family,,Completed,households,30,30,5,31010,31010-5
Makwanpur,Thaha,1,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ECHO,"Water, Sanitation and Hygiene",Support - Material Support on Household WASH,,A package of materials worth 9000 NPR per family,,Completed,households,30,30,1,31010,31010-1
Makwanpur,Thaha,6,ICCO,Recovering Livelihood and Empowering Communities (RLEC),CCDN,ECHO,"Water, Sanitation and Hygiene",Support - Material Support on Household WASH,,A package of materials worth 9000 NPR per family,,Completed,households,30,30,6,31010,31010-6
Makwanpur,Bakaiya,11,PLAN,Post Earthquake recovery and reconstruction Project,CWS,PLAN,Social Protection,Awareness - Programmes on Human Trafficking,Pshycosocial Support,,,,households,30,,11,31002,31002-11
Makwanpur,Bakaiya,11,PLAN,Post Earthquake recovery and reconstruction Project,CWS,PLAN,Social Protection,Awareness - Programmes on Human Trafficking,Pshycosocial Support,,,,households,30,,11,31002,31002-11
Makwanpur,Thaha,9,PLAN,,CEEDF,ECHO,Rural Housing and Community Infrastructure,Support - Distribution of builder toolkits,,Builder toolkits,,Completed,households,30,30,9,31010,31010-9
Makwanpur,Indrasarowar,5,PLAN,,CEEDF,ECHO,Rural Housing and Community Infrastructure,Support - Distribution of builder toolkits,,Builder toolkits,,Ongoing,households,30,30,5,31005,31005-5
Makwanpur,Indrasarowar,2,PLAN,,CEEDF,ECHO,Rural Housing and Community Infrastructure,Support - Distribution of builder toolkits,,Builder toolkits,,Completed,households,30,30,2,31005,31005-2
Makwanpur,Indrasarowar,1,PLAN,,CEEDF,ECHO,Rural Housing and Community Infrastructure,Support - Distribution of builder toolkits,,Builder toolkits,,Completed,households,30,30,1,31005,31005-1
Makwanpur,Indrasarowar,4,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,29,,4,31005,31005-4
Makwanpur,Indrasarowar,2,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,28,,2,31005,31005-2
Makwanpur,Indrasarowar,2,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,28,,2,31005,31005-2
Makwanpur,Indrasarowar,4,PLAN,Post Earthquake recovery and reconstruction Project,CEEDF,PLAN,Rural Housing and Community Infrastructure,Support - Distribution of shelter kits,Transitional Shelter construction ,construction of shelter for small family ,,,households,28,,4,31005,31005-4
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - Door-to-door technical assistance,,"1 engineer, 1 social mobilizer and Technical coordinator ( Senior Engineer), Generally 5 visits per house ( Lay out, DPC, Seal, Lintal, Roofing) ",,Completed,households,28,28,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche I),,Rs 50000per household,,Completed,households,28,28,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche II),,Rs 90000per household,,Completed,households,28,28,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,RADO,DEC,Rural Housing and Community Infrastructure,Support - GoN reconstruction grant (Tranche III),,Rs 110000per household,,Completed,households,28,28,12,31010,31010-12
Makwanpur,Thaha,8,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,8,31010,31010-8
Makwanpur,Thaha,7,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,7,31010,31010-7
Makwanpur,Thaha,7,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,7,31010,31010-7
Makwanpur,Thaha,8,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,8,31010,31010-8
Makwanpur,Thaha,11,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,11,31010,31010-11
Makwanpur,Thaha,11,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,11,31010,31010-11
Makwanpur,Thaha,11,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,12,31010,31010-12
Makwanpur,Thaha,11,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,11,31010,31010-11
Makwanpur,Thaha,12,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,12,31010,31010-12
Makwanpur,Thaha,12,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,28,,12,31010,31010-12
Makwanpur,Thaha,8,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,27,,8,31010,31010-8
Makwanpur,Thaha,8,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,27,,8,31010,31010-8
Makwanpur,Thaha,12,Tearfund,,CWS,Tearund/DEC,Nutrition,Support - Micro-nutrients for Children and Women,,Nutritional Support to Pregnant and Lactating women,,,households,27,,12,31010,31010-12
