District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,7,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,25,25,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,5,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Completed,households,459,459,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Completed,households,431,431,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,6,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Completed,households,473,473,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Completed,households,271,271,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,6,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Enhancement of Crop production,Completed,households,337,337,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,5,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,201,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,9,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,150,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,5,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,155,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,9,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,150,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,5,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,180,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,9,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,180,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,5,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,150,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,300,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,3,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,295,26002,15,26002-3
Bhaktapur,Suryabinayak Nagarpalika,8,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,150,150,26004,15,26004-8
Bhaktapur,Changunarayan Nagarpalika,8,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,200,26002,15,26002-8
Bhaktapur,Suryabinayak Nagarpalika,8,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,150,150,26004,15,26004-8
Bhaktapur,Suryabinayak Nagarpalika,8,NRCS,BRC,"Agriculture, Livestock Development and Irrigation",Support - Targeted vulnerable groups,Completed,households,200,152,26004,15,26004-8
